1116.0,38,39,up
1116.0,38,8,up
1116.0,38,21,up
1116.0,38,28,up
1116.0,38,33,up
1116.0,38,37,up
1116.0,38,18,down
1116.0,38,39,down
1116.0,38,8,down
1116.0,38,21,down
1118.0,38,7,up
1118.0,38,6,up
1118.0,38,9,up
1118.0,38,28,down
1118.0,38,7,down
1118.0,38,6,down
1119.0,4,19,up
1119.0,4,13,up
1119.0,4,16,up
1119.0,4,33,up
1119.0,4,19,down
1119.0,4,13,down
1119.0,4,16,down
1119.0,4,33,down
1121.0,4,34,up
1121.0,4,0,up
1121.0,4,9,up
1121.0,4,28,up
1121.0,4,24,down
1121.0,4,39,down
1121.0,4,34,down
1121.0,4,0,down
1121.0,4,9,down
1123.0,4,36,up
1123.0,4,21,up
1123.0,4,40,up
1123.0,4,6,up
1123.0,4,28,down
1123.0,4,36,down
1124.0,4,7,up
1124.0,4,13,up
1124.0,4,23,up
1124.0,4,19,up
1124.0,4,3,up
1124.0,4,21,down
1124.0,4,7,down
1124.0,4,13,down
1124.0,4,23,down
1124.0,4,19,down
1124.0,19,15,up
1124.0,19,22,up
1124.0,19,15,down
1124.0,19,22,down
1126.0,4,24,up
1126.0,4,16,up
1126.0,4,39,up
1126.0,4,37,up
1126.0,4,33,up
1126.0,4,40,down
1126.0,4,24,down
1126.0,4,16,down
1126.0,4,39,down
1126.0,4,37,down
1126.0,4,33,down
1136.0,29,3,up
1139.0,32,27,up
1139.0,32,35,down
1139.0,32,27,down
1141.0,9,7,up
1141.0,9,39,up
1141.0,9,38,up
1141.0,9,36,down
1141.0,9,40,down
1141.0,9,7,down
1146.0,9,18,up
1146.0,9,10,up
1146.0,9,23,down
1146.0,9,3,down
1146.0,9,39,down
1146.0,9,38,down
1146.0,9,18,down
1157.0,21,36,up
1157.0,21,38,up
1157.0,21,10,up
1157.0,21,26,up
1157.0,21,7,up
1157.0,21,36,down
1157.0,21,38,down
1157.0,21,10,down
1157.0,21,26,down
1157.0,21,7,down
1161.0,35,15,up
1161.0,35,26,up
1161.0,35,27,down
1161.0,35,15,down
1162.0,13,10,up
1162.0,13,28,up
1162.0,13,6,up
1162.0,13,40,up
1162.0,13,0,down
1162.0,13,10,down
1162.0,13,28,down
1162.0,13,6,down
1163.0,39,9,up
1163.0,39,28,up
1163.0,39,10,up
1163.0,39,19,up
1163.0,39,34,down
1163.0,39,9,down
1163.0,39,28,down
1163.0,39,10,down
1163.0,39,19,down
1166.0,39,18,up
1166.0,39,36,up
1166.0,39,24,up
1166.0,39,16,up
1166.0,39,33,up
